=== Analysis_Timeline ===
Year|Adobe|Amazon Prime|Apple Music|Disney+|ExpressVPN|Microsoft|Netflix|NordVPN|Spotify|Youtube Premium
2016.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0
2018.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0
2019.0|0.0|0.0|1.0|0.0|0.0|8.0|0.0|0.0|1.0|0.0
2020.0|2.0|1.0|0.0|0.0|0.0|9.0|1.0|0.0|0.0|1.0
2021.0|0.0|0.0|0.0|0.0|0.0|7.0|1.0|0.0|0.0|0.0
2022.0|0.0|0.0|1.0|0.0|0.0|9.0|0.0|0.0|0.0|16.0
2023.0|0.0|0.0|4.0|0.0|0.0|12.0|0.0|0.0|0.0|53.0
2024.0|1.0|0.0|1.0|4.0|0.0|6.0|0.0|3.0|0.0|31.0
2025.0|1.0|2.0|3.0|0.0|5.0|6.0|3.0|0.0|0.0|20.0

=== Analysis_FortressIndex ===
Company|Fortress_Score
ExpressVPN|55.55555555555556
NordVPN|50.0
Youtube Premium|34.34343434343434
Microsoft|32.758620689655174
Apple Music|12.5
Adobe|5.714285714285714
Amazon Prime|2.941176470588235
Disney+|2.0408163265306123
Netflix|2.032520325203252
Spotify|0.4329004329004329

=== Qual_Timeline ===
Year|Technical Blocking|Price Discrimination|Content Licensing|Regulatory Compliance|Legal Threat|Account Action|Privacy/Security|Security Risk|Legitimate Portability|User Workaround|General Terms
2016.0|0|0|0|0|0|0|0|0|0|0|0
2017.0|0|0|0|0|0|0|0|0|0|0|0
2018.0|4|1|6|7|3|0|0|0|0|0|135
2019.0|1|3|43|18|9|0|0|0|0|1|694
2020.0|2|16|64|50|12|0|0|10|0|0|3231
2021.0|1|25|63|66|7|0|2|4|0|0|3446
2022.0|13|20|85|72|13|0|4|10|0|0|3946
2023.0|44|12|102|113|25|0|11|2|2|0|4490
2024.0|24|33|96|109|23|0|2|10|0|0|4777
2025.0|15|14|99|88|28|0|8|9|0|0|3347

=== Service_Stats ===
Service|Technical Blocking|Price Discrimination|Content Licensing|Regulatory Compliance|Legal Threat|Account Action|Privacy/Security|Security Risk|Legitimate Portability|User Workaround|General Terms
Microsoft|4|0|10|80|53|0|4|23|0|0|6342
Youtube Premium|94|2|99|135|34|0|16|0|0|0|3784
Spotify|1|22|132|75|0|0|0|0|0|1|3320
Adobe|0|18|4|45|4|0|1|1|0|0|3086
Netflix|1|36|127|76|4|0|0|0|2|0|2626
Disney+|0|41|114|37|4|0|0|0|0|0|1975
Amazon Prime|1|2|44|44|3|0|0|9|0|0|1536
Apple Music|2|2|28|29|8|0|5|6|0|0|1248
ExpressVPN|1|1|0|2|4|0|1|0|0|0|51
NordVPN|0|0|0|0|6|0|0|6|0|0|98
