Relative Category Share per Year (%),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0.1904761905,0.04761904762,0.2857142857,0.3333333333,0.1428571429,0,0,0,0,0,6.428571429
2019,0.01333333333,0.04,0.5733333333,0.24,0.12,0,0,0,0,0.01333333333,9.253333333
2020,0.01298701299,0.1038961039,0.4155844156,0.3246753247,0.07792207792,0,0,0.06493506494,0,0,20.98051948
2021,0.005952380952,0.1488095238,0.375,0.3928571429,0.04166666667,0,0.0119047619,0.02380952381,0,0,20.51190476
2022,0.0599078341,0.09216589862,0.3917050691,0.331797235,0.0599078341,0,0.01843317972,0.04608294931,0,0,18.1843318
2023,0.1414790997,0.038585209,0.3279742765,0.3633440514,0.08038585209,0,0.03536977492,0.006430868167,0.006430868167,0,14.43729904
2024,0.08080808081,0.1111111111,0.3232323232,0.367003367,0.07744107744,0,0.006734006734,0.03367003367,0,0,16.08417508
2025,0.05747126437,0.05363984674,0.3793103448,0.337164751,0.1072796935,0,0.030651341,0.03448275862,0,0,12.82375479
