Category,Gemini Count,Gemini %,BERT Count,BERT %,Delta (Gemini-BERT)
Technical Blocking,104,0.004067266328,23,0.0008986832337,0.003168583094
Price Discrimination,124,0.004849432929,8,0.0003125854726,0.004536847457
Content Licensing,558,0.02182244818,1474,0.05759387332,-0.03577142514
Regulatory Compliance,523,0.02045365663,104,0.004063611144,0.01639004549
Legal Threat,120,0.004692999609,0,0.0,0.004692999609
Account Action,0,0.0,6627,0.2589379909,-0.2589379909
Privacy/Security,27,0.001055924912,0,0.0,0.001055924912
Security Risk,45,0.001759874853,0,0.0,0.001759874853
Legitimate Portability,2,7.821666015e-05,8187,0.319892158,-0.3198139414
User Workaround,1,3.910833007e-05,2486,0.09713593561,-0.09709682728
General Terms,24066,0.9411810716,6684,0.2611651623,0.6800159092
