Category,Count,Percent,Percent.1
Technical Blocking,104,0.06914893617,0.004067266328
Price Discrimination,124,0.08244680851,0.004849432929
Content Licensing,558,0.3710106383,0.02182244818
Regulatory Compliance,523,0.3477393617,0.02045365663
Legal Threat,120,0.07978723404,0.004692999609
Account Action,0,0.0,0.0
Privacy/Security,27,0.01795212766,0.001055924912
Security Risk,45,0.02992021277,0.001759874853
Legitimate Portability,2,0.001329787234,7.821666015e-05
User Workaround,1,0.000664893617,3.910833007e-05
General Terms,24066,16.00132979,0.9411810716
