Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,4,1,6,7,3,0,0,0,0,0,135
2019,1,3,43,18,9,0,0,0,0,1,694
2020,6,16,71,55,15,0,0,10,0,0,3386
2021,5,26,70,74,12,0,2,4,0,0,3645
2022,13,20,87,72,13,0,4,10,0,0,4001
2023,44,12,102,117,25,0,11,2,2,0,4567
2024,24,33,96,114,23,0,2,10,0,0,4880
2025,15,14,99,89,28,0,8,9,0,0,3402
