Microsoft Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,1,0,2,11,8,0,0,10,0,0,1078
2021,0,0,1,11,7,0,1,3,0,0,1091
2022,1,0,2,10,8,0,1,8,0,0,1102
2023,1,0,1,14,11,0,2,2,0,0,1014
2024,0,0,0,21,6,0,0,0,0,0,1021
2025,1,0,2,13,5,0,0,0,0,0,879


Youtube Premium Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,5,0,7,7,3,0,0,0,0,0,156
2021,4,0,5,8,3,0,0,0,0,0,183
2022,12,0,14,17,4,0,0,0,0,0,695
2023,42,1,32,45,11,0,8,0,0,0,1350
2024,23,0,17,33,8,0,1,0,0,0,1033
2025,12,1,29,32,8,0,7,0,0,0,493


Spotify Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,5,28,10,0,0,0,0,0,0,675
2021,0,4,15,8,0,0,0,0,0,0,648
2022,0,2,28,9,0,0,0,0,0,0,569
2023,0,2,24,19,0,0,0,0,0,0,539
2024,0,7,7,17,0,0,0,0,0,0,526
2025,0,0,1,2,0,0,0,0,0,0,224


Adobe Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,2,0,12,2,0,0,0,0,0,618
2021,0,2,0,9,2,0,0,0,0,0,521
2022,0,0,0,10,0,0,1,0,0,0,398
2023,0,0,0,9,0,0,0,0,0,0,405
2024,0,11,0,8,1,0,0,1,0,0,829
2025,0,2,2,2,1,0,0,0,0,0,380


Netflix Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,4,19,7,1,0,0,0,0,0,362
2021,1,12,19,11,0,0,0,0,0,0,353
2022,0,11,17,11,0,0,0,0,0,0,492
2023,0,5,15,12,0,0,0,0,2,0,387
2024,0,1,16,11,0,0,0,0,0,0,397
2025,0,3,41,24,3,0,0,0,0,0,635


Disney+ Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,5,9,4,0,0,0,0,0,0,223
2021,0,8,20,10,0,0,0,0,0,0,325
2022,0,7,12,1,0,0,0,0,0,0,237
2023,0,3,17,9,0,0,0,0,0,0,347
2024,0,14,43,13,4,0,0,0,0,0,547
2025,0,4,13,0,0,0,0,0,0,0,296


Amazon Prime Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,3,2,1,0,0,0,0,0,80
2021,0,0,9,9,0,0,0,0,0,0,331
2022,0,0,6,7,0,0,0,0,0,0,319
2023,0,0,10,7,0,0,0,0,0,0,329
2024,1,0,8,6,0,0,0,4,0,0,267
2025,0,2,8,11,2,0,0,5,0,0,236


Apple Music Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,3,2,0,0,0,0,0,0,194
2021,0,0,1,8,0,0,1,1,0,0,193
2022,0,0,8,7,1,0,2,2,0,0,189
2023,1,1,3,2,3,0,1,0,0,0,196
2024,0,0,5,5,1,0,1,2,0,0,211
2025,1,1,3,3,2,0,0,1,0,0,159


ExpressVPN Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0
2025,1,1,0,2,4,0,1,0,0,0,51


NordVPN Live Table
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,3,0,0,3,0,0,49
2025,0,0,0,0,3,0,0,3,0,0,49

