Service,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
Adobe,0,12,0,65,0,9,0,0,1,0,3030
Amazon,0,4,28,15,0,4,0,0,0,0,316
Amazon Prime,1,8,32,27,0,2,0,0,0,0,691
Apple Music,1,0,53,72,0,24,0,0,0,2,1062
Disney+,1,26,185,57,0,22,0,0,4,2,1874
ExpressVPN,3,0,1,5,0,2,0,0,0,0,49
Microsoft,0,5,23,150,0,84,0,0,0,0,6087
Netflix,3,81,177,82,0,17,0,0,4,4,2503
NordVPN,0,0,0,1,0,6,0,0,0,0,48
PurePlayer,0,0,20,18,0,0,0,0,0,0,437
Spotify,1,46,174,73,0,18,0,0,0,9,2825
Youtube Premium,84,10,120,144,0,50,0,0,0,3,3592
