Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Content Licensing,General Terms,Price Discrimination,Regulatory Compliance,Legal Threat,,Year,General Terms,Regulatory Compliance,Legal Threat,Content Licensing,Price Discrimination,,Year,Content Licensing,General Terms,Legal Threat,Regulatory Compliance,Privacy/Security,Security Risk,Price Discrimination,Technical Blocking,,Year,Content Licensing,General Terms,Legal Threat,Price Discrimination,Regulatory Compliance,,Year,General Terms,Legal Threat,Price Discrimination,Privacy/Security,Regulatory Compliance,Technical Blocking,,Year,Content Licensing,General Terms,Legal Threat,Regulatory Compliance,,Year,Content Licensing,General Terms,Legal Threat,Regulatory Compliance,Technical Blocking,,Year,General Terms,Legal Threat,Security Risk,,,Year,Content Licensing,General Terms,Regulatory Compliance,,,Year,Content Licensing,General Terms,Legal Threat,Regulatory Compliance,Technical Blocking,Price Discrimination
2018,1,18,1,1,,,2018,17,1,,,,,2019,5,106,1,2,,,,,,2024,14,191,4,6,1,,2025,51,4,1,1,2,1,,2019,2,157,8,,,2020,3,29,1,1,,,2024,49,3,3,,,2019,2,55,,,,2018,5,100,3,5,4,
2019,1,18,1,1,,,2019,17,1,,,,,2020,3,114,,,,,,,,2025,9,137,,2,,,,,,,,,,,2020,2,153,8,,,2021,3,28,,1,1,,2025,49,3,3,,,2023,,48,4,,,2019,,44,,,,
2020,,44,1,3,2,,2020,28,1,1,,,,2021,1,118,,3,1,1,,,,,,,,,,,,,,,,,,,2021,1,154,7,1,,2022,3,29,,1,,,,,,,,,2025,1,55,2,,,2020,2,54,,2,,
2022,,57,,4,,,2021,49,2,,,,,2022,7,111,1,4,1,1,,,,,,,,,,,,,,,,,,,2022,2,161,8,,,2023,3,30,,1,,,,,,,,,,,,,,,2021,,50,,1,,
2024,,69,1,3,1,,2022,20,,,,,,2023,2,121,3,2,,,1,1,,,,,,,,,,,,,,,,,2023,1,158,11,1,,2024,3,37,,1,,,,,,,,,,,,,,,2022,13,266,4,7,12,
2025,1,78,,2,1,,2025,68,2,2,2,2,,2024,5,124,1,1,1,1,,,,,,,,,,,,,,,,,,,2024,,176,6,1,,2025,27,321,3,13,,,,,,,,,,,,,,,2023,32,779,11,18,41,1
,,,,,,,,,,,,,,2025,3,122,2,1,,1,1,1,,,,,,,,,,,,,,,,,2025,2,176,5,2,,,,,,,,,,,,,,,,,,,,,2024,16,456,8,12,23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,29,232,8,13,12,1
