,,,,,,,,,,
Year,Content Licensing,General Terms,Legal Threat,Price Discrimination,Regulatory Compliance,Technical Blocking,User Workaround,Security Risk,Privacy/Security,Legitimate Portability
2018,6,135,3,1,7,4,,,,
2019,43,694,9,3,18,1,1,,,
2020,64,3231,12,16,50,2,,10,,
2021,63,3446,7,25,66,1,,4,2,
2022,85,3946,13,20,72,13,,10,4,
2023,102,4490,25,12,113,44,,2,11,2
2024,96,4777,23,33,109,24,,10,2,
2025,99,3347,28,14,88,15,,9,8,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,Content Licensing,Legal Threat,Price Discrimination,Regulatory Compliance,Technical Blocking,User Workaround,Security Risk,Privacy/Security,Legitimate Portability,
2018,6,3,1,7,4,0,0,0,0,
2019,43,9,3,18,1,1,0,0,0,
2020,64,12,16,50,2,0,10,0,0,
2021,63,7,25,66,1,0,4,2,0,
2022,85,13,20,72,13,0,10,4,0,
2023,102,25,12,113,44,0,2,11,2,
2024,96,23,33,109,24,0,10,2,0,
2025,99,28,14,88,15,0,9,8,0,
