Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,4,1,6,7,3,0,0,0,0,0,135
2019,1,3,43,18,9,0,0,0,0,1,694
2020,2,16,64,50,12,0,0,10,0,0,3231
2021,1,25,63,66,7,0,2,4,0,0,3446
2022,13,20,85,72,13,0,4,10,0,0,3946
2023,44,12,102,113,25,0,11,2,2,0,4490
2024,24,33,96,109,23,0,2,10,0,0,4777
2025,15,14,99,88,28,0,8,9,0,0,3347
