,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Account Action,Content Licensing,General Terms,Legal Threat,Legitimate Portability,Price Discrimination,Privacy/Security,Regulatory Compliance,Security Risk,Technical Blocking,User Workaround,,,,Year,Account Action,Content Licensing,General Terms,Legal Threat,Legitimate Portability,Price Discrimination,Privacy/Security,Regulatory Compliance,Security Risk,Technical Blocking,User Workaround
2016,0,0,0,0,0,0,0,0,0,0,0,,,,2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,,,,2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,6,135,3,0,1,0,7,0,4,0,,,,2018,0,0.03846153846,0.8653846154,0.01923076923,0,0.00641025641,0,0.04487179487,0,0.02564102564,0
2019,0,43,694,9,0,3,0,18,0,1,1,,,,2019,0,0.05591677503,0.9024707412,0.01170351105,0,0.003901170351,0,0.02340702211,0,0.001300390117,0.001300390117
2020,0,64,3231,12,0,16,0,50,10,2,0,,,,2020,0,0.01890694239,0.9545051699,0.003545051699,0,0.004726735598,0,0.01477104874,0.002954209749,0.0005908419498,0
2021,0,63,3446,7,0,25,2,66,4,1,0,,,,2021,0,0.01743220808,0.9535141118,0.001936912009,0,0.006917542889,0.0005534034311,0.01826231323,0.001106806862,0.0002767017156,0
2022,0,85,3946,13,0,20,4,72,10,13,0,,,,2022,0,0.02041796781,0.9478741292,0.003122748018,0,0.00480422772,0.0009608455441,0.01729521979,0.00240211386,0.003122748018,0
2023,0,102,4490,25,2,12,11,113,2,44,0,,,,2023,0,0.02124557384,0.9352218288,0.00520724849,0.0004165798792,0.002499479275,0.002291189336,0.02353676317,0.0004165798792,0.009164757342,0
2024,0,96,4777,23,0,33,2,109,10,24,0,,,,2024,0,0.01891998423,0.9414662988,0.004532912889,0,0.00650374458,0.0003941663382,0.02148206543,0.001970831691,0.004729996058,0
2025,0,99,3347,28,0,14,8,88,9,15,0,,,,2025,0,0.02743902439,0.9276607539,0.007760532151,0,0.003880266075,0.0022172949,0.0243902439,0.002494456763,0.004157427938,0
