Service,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
Microsoft,4,0,10,80,53,0,4,23,0,0,6342
Youtube Premium,94,2,99,135,34,0,16,0,0,0,3784
Spotify,1,22,132,75,0,0,0,0,0,1,3320
Adobe,0,18,4,45,4,0,1,1,0,0,3086
Netflix,1,36,127,76,4,0,0,0,2,0,2626
Disney+,0,41,114,37,4,0,0,0,0,0,1975
Amazon Prime,1,2,44,44,3,0,0,9,0,0,1536
Apple Music,2,2,28,29,8,0,5,6,0,0,1248
ExpressVPN,1,1,0,2,4,0,1,0,0,0,51
NordVPN,0,0,0,0,6,0,0,6,0,0,98
