Year,Service,Category,Count,Percentage
2016,Microsoft,Technical Blocking,0,0.00%
2016,Microsoft,Price Discrimination,0,0.00%
2016,Microsoft,Content Licensing,0,0.00%
2016,Microsoft,Regulatory Compliance,0,0.00%
2016,Microsoft,Legal Threat,0,0.00%
2016,Microsoft,Account Action,0,0.00%
2016,Microsoft,Privacy/Security,0,0.00%
2016,Microsoft,Security Risk,0,0.00%
2016,Microsoft,Legitimate Portability,0,0.00%
2016,Microsoft,User Workaround,0,0.00%
2016,Microsoft,General Terms,0,0.00%
2016,Youtube Premium,Technical Blocking,0,0.00%
2016,Youtube Premium,Price Discrimination,0,0.00%
2016,Youtube Premium,Content Licensing,0,0.00%
2016,Youtube Premium,Regulatory Compliance,0,0.00%
2016,Youtube Premium,Legal Threat,0,0.00%
2016,Youtube Premium,Account Action,0,0.00%
2016,Youtube Premium,Privacy/Security,0,0.00%
2016,Youtube Premium,Security Risk,0,0.00%
2016,Youtube Premium,Legitimate Portability,0,0.00%
2016,Youtube Premium,User Workaround,0,0.00%
2016,Youtube Premium,General Terms,0,0.00%
2016,Spotify,Technical Blocking,0,0.00%
2016,Spotify,Price Discrimination,0,0.00%
2016,Spotify,Content Licensing,0,0.00%
2016,Spotify,Regulatory Compliance,0,0.00%
2016,Spotify,Legal Threat,0,0.00%
2016,Spotify,Account Action,0,0.00%
2016,Spotify,Privacy/Security,0,0.00%
2016,Spotify,Security Risk,0,0.00%
2016,Spotify,Legitimate Portability,0,0.00%
2016,Spotify,User Workaround,0,0.00%
2016,Spotify,General Terms,0,0.00%
2016,Adobe,Technical Blocking,0,0.00%
2016,Adobe,Price Discrimination,0,0.00%
2016,Adobe,Content Licensing,0,0.00%
2016,Adobe,Regulatory Compliance,0,0.00%
2016,Adobe,Legal Threat,0,0.00%
2016,Adobe,Account Action,0,0.00%
2016,Adobe,Privacy/Security,0,0.00%
2016,Adobe,Security Risk,0,0.00%
2016,Adobe,Legitimate Portability,0,0.00%
2016,Adobe,User Workaround,0,0.00%
2016,Adobe,General Terms,0,0.00%
2016,Netflix,Technical Blocking,0,0.00%
