Category,Wait_Frequency,Percent
Content Licensing,524,30.39
Regulatory Compliance,522,30.28
"Error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Read timed out. (read timeout=30)",250,14.5
Price Discrimination,121,7.02
Legal Threat,112,6.5
Technical Blocking,106,6.15
Security Risk,39,2.26
Privacy/Security,27,1.57
"Error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Read timed out. (read timeout=20)",20,1.16
Legitimate Portability,2,0.12
User Workaround,1,0.06
