Source,Category,Sentence
20-10K_Adobe.pdf,Regulatory Compliance,"Beginning the first quarter of fiscal 2020, as a result of ASC 842 adoption, accrued building rent is recorded as a reduction to our operating lease right-of-use assets on our Consolidated Balance Statements."
20-10K_Adobe.pdf,Legitimate Portability,The tax-deductible amortization related to the transferred IP rights will be recognized over the period of economic benefit.
20-10K_Adobe.pdf,Regulatory Compliance,We provide U.S. income taxes on the earnings of foreign subsidiaries unless the subsidiaries’ earnings are considered permanently reinvested outside the United States or are exempted from further taxation.
20-10K_Adobe.pdf,Regulatory Compliance,"While we file federal, state and local income tax returns globally, our major tax jurisdictions are Ireland, California and the United States."
20-10K_Adobe.pdf,Regulatory Compliance,We are subject to the continual examination of our income tax returns by the U.S. Internal Revenue Service and other domestic and foreign tax authorities.
20-10K_Adobe.pdf,Regulatory Compliance,We regularly assess the likelihood of outcomes resulting from these examinations to determine the adequacy of our provision for income taxes and have reserved for potential adjustments that may result from these examinations.
20-10K_Adobe.pdf,Regulatory Compliance,The timing of the resolution of income tax examinations is highly uncertain as are the amounts and timing of tax payments that are part of any audit settlement process.
20-10K_Adobe.pdf,2. Account Action,"Beginning January 1, 2020, only members of the Board are permitted to defer vested equity awards."
20-10K_Adobe.pdf,3. Price Discrimination,"As of November 27, 2020 and November 29, 2019, $137 million and $109 million, respectively, were recorded as long-term liabilities to recognize undistributed deferred compensation due to employees."
20-10K_Adobe.pdf,Legitimate Portability,Employee Stock Purchase Plan Our Employee Stock Purchase Plan (“ESPP”) allows eligible employee participants to purchase shares of our common stock at a discount through payroll deductions.
20-10K_Adobe.pdf,Legitimate Portability,The ESPP consists of twenty-four-month offering periods with four six-month purchase periods in each offering period.
20-10K_Adobe.pdf,Legitimate Portability,"Employees purchase shares in each purchase period at 85% of the market value of our common stock at either the beginning of the offering period or the end of the purchase period, whichever price is lower."
20-10K_Adobe.pdf,Irrelevant,The determination of the fair value of stock-based payment awards on the date of grant using an option pricing model is affected by our stock price as well as assumptions regarding a number of complex and subjective variables.
20-10K_Adobe.pdf,Irrelevant,"These variables include our expected stock price volatility over the expected term of the awards, actual and projected employee stock option exercise behaviors, a risk-free interest rate and any expected dividends."
20-10K_Adobe.pdf,Irrelevant,"Summary of Restricted Stock Units Restricted stock unit activity for fiscal 2020 was as follows: Weighted Average Number of Weighted Average Aggregate Remaining Shares Grant Date Fair Value(1) Contractual Life (in millions) Fair Value (in millions) (years) Beginning outstanding balance 8.6 $ 211.95 Awarded 3.1 $ 358.68 Released (4.2) $ 193.08 Forfeited (0.5) $ 255.16 Ending outstanding balance 7.0 $ 285.69 $ 3,322 1.15 Expected to vest 6.4 $ 283.77 $ 3,066 1.09 _________________________________________ (1) The aggregate fair value is calculated using the closing stock price as of November 27, 2020 of $477.03."
20-10K_Adobe.pdf,Irrelevant,"The weighted average grant date fair values of restricted stock units granted during fiscal 2020, 2019 and 2018 were $358.68, $253.91 and $208.73, respectively."
20-10K_Adobe.pdf,Irrelevant,"The total fair value of restricted stock units vested during fiscal 2020, 2019 and 2018 was $1.61 billion, $970 million and $837 million, respectively."
20-10K_Adobe.pdf,Irrelevant,"97 Table of Contents ADOBE INC. NOTES TO CONSOLIDATED FINANCIAL STATEMENTS (Continued) Summary of Performance Shares Performance share activity for fiscal 2020 was as follows: Weighted Average Number of Weighted Average Aggregate Remaining Shares Grant Date Fair Value(1) Contractual Life (in millions) Fair Value (in millions) (years) Beginning outstanding balance 1.0 $ 199.78 Awarded 0.6 $ 271.62 Achieved (0.8) $ 118.84 Forfeited (0.1) $ 303.13 Ending outstanding balance 0.7 $ 333.85 $ 342 1.16 Expected to vest 0.7 $ 327.36 $ 315 1.12 _________________________________________ (1) The aggregate fair value is calculated using the closing stock price as of November 27, 2020 of $477.03."
20-10K_Adobe.pdf,Legitimate Portability,Shares awarded during fiscal 2020 include 0.4 million additional shares awarded for the final achievement of the 2017 Performance Share Program which was certified in the first quarter of fiscal 2020.
20-10K_Adobe.pdf,Legitimate Portability,The remaining awarded shares were for the 2020 Performance Share Program.
20-10K_Adobe.pdf,Legitimate Portability,Shares achieved during fiscal 2020 resulted from 200% achievement of target for the 2017 Performance Share Program.
20-10K_Adobe.pdf,Account Action,"We recognize the estimated compensation cost of restricted stock units, net of estimated forfeitures, on a straight-line basis over the requisite service period of the entire award, which is generally the vesting period."
20-10K_Adobe.pdf,Legitimate Portability,The estimated compensation cost is based on the fair value of our common stock on the date of grant.
20-10K_Adobe.pdf,Account Action,We may repurchase shares in the open market or enter into structured repurchase agreements with third parties.
20-10K_Adobe.pdf,Account Action,"During fiscal 2020, 2019 and 2018, we entered into several structured stock repurchase agreements with large financial institutions..."
20-10K_Adobe.pdf,Regulatory Compliance,We provide indemnifications of varying scope to customers and channel partners against claims of intellectual property infringement made by third parties arising from the use of our products.
20-10K_Adobe.pdf,Regulatory Compliance,"To the extent permitted under Delaware law, we have agreements whereby we indemnify our officers and directors for certain events or occurrences while the officer or director is or was serving at our request in such capacity."
20-10K_Adobe.pdf,Regulatory Compliance,"Third-party intellectual property disputes could subject us to significant liabilities, require us to enter into royalty and licensing arrangements on unfavorable terms, prevent us from licensing certain of our products or offering certain of our services, subject us to injunctions restricting our sale of products or services, cause severe disruptions to our operations or the markets in which we compete, or require us to satisfy indemnification commitments with our customers including contractual provisions under various license arrangements and service agreements."
20-10K_Adobe.pdf,Account Action,All legal costs associated with litigation are expensed as incurred.
20-10K_Adobe.pdf,Regulatory Compliance,The Term Loan ranked equally with our other unsecured and unsubordinated indebtedness.
20-10K_Adobe.pdf,Legitimate Portability,There were no scheduled principal amortization payments prior to maturity and the Term Loan could be prepaid and terminated at our election at any time without penalty or premium.
20-10K_Adobe.pdf,Regulatory Compliance,"In June 2019, in anticipation of our debt refinancing, we entered into Treasury lock agreements with large financial institutions which fixed benchmark U.S. Treasury rates for an aggregate notional amount of $1 billion of our future debt issuance."
20-10K_Adobe.pdf,Legitimate Portability,These derivative instruments hedged the impact of changes in the benchmark interest rate to future interest payments.
20-10K_Adobe.pdf,Legitimate Portability,We are permitted to permanently reduce the aggregate commitment under the Revolving Credit Agreement at any time.
20-10K_Adobe.pdf,Regulatory Compliance,"The facility will terminate and all amounts owing thereunder will be due and payable on the maturity date unless (a) the commitments are terminated earlier upon the occurrence of certain events, including an event of default, or (b) the maturity date is further extended upon our request, subject to the agreement of the lenders."
20-10K_Adobe.pdf,Legitimate Portability,We apply the accounting requirements of ASC 842 to short- term leases.
20-10K_Adobe.pdf,Legitimate Portability,Our fiscal year is a 52- or 53-week year that ends on the Friday closest to November 30.
20-10K_Adobe.pdf,Legitimate Portability,Each of the fiscal quarters presented were comprised of 13 weeks.
20-10K_Adobe.pdf,Regulatory Compliance,"Our audits also included evaluating the accounting principles used and significant estimates made by management, as well as evaluating the overall presentation of the consolidated financial statements."
20-10K_Adobe.pdf,Critical Audit Matters,We identified the assessment of performance obligations in these cloud-enabled software subscription offerings as a critical audit matter.
20-10K_Adobe.pdf,Content Licensing,We read the Creative Cloud and Document Cloud subscription offering agreements to understand the contractual terms and conditions.
20-10K_Adobe.pdf,Regulatory Compliance,The tax-deductible amortization related to the transferred IP rights will be recognized over the period of economic benefit.
20-10K_Adobe.pdf,Regulatory Compliance,We involved valuation professionals with specialized skills and knowledge who assisted in assessing the discount rate assumption by comparing it to a discount rate range that was independently developed using publicly available market data for comparable entities.
20-10K_Adobe.pdf,Legitimate Portability,"Beginning in March 2020, our employees across all geographic regions have shifted to working from home due to the pandemic."
20-10K_Adobe.pdf,Regulatory Compliance,"† The certifications attached as Exhibits 32.1 and 32.2 that accompany this Annual Report on Form 10-K, are not deemed filed with the Securities and Exchange Commission and are not to be incorporated by reference into any filing of Adobe Inc. under the Securities Act of 1933, as amended, or the Securities Exchange Act of 1934, as amended, whether made before or after the date of this Form 10-K, irrespective of any general incorporation language contained in such filing."
20-Shareholder-Letter_Adobe.pdf,Content Licensing,"We connected content to data, created new categories and continuously introduced new technologies that democratized creativity and transformed businesses."
20-Shareholder-Letter_Adobe.pdf,Legitimate Portability,"Experience Cloud offers the most comprehensive set of solutions to power digital businesses, from online retailers to the world’s largest enterprises."
20-Shareholder-Letter_Adobe.pdf,Content Licensing,"We’re enabling cutting-edge creativity across media types, making the creative process more productive and collaborative, and delivering new magic with Adobe Sensei, our artificial intelligence and machine learning platform."
20-Shareholder-Letter_Adobe.pdf,Content Licensing,"With the introduction of newer products like Photoshop Camera, Adobe Spark and Premiere Rush, we’re broadening our reach to the next generation of creators and business communicators."
20-Shareholder-Letter_Adobe.pdf,Legitimate Portability,We have a unique solutions that enable businesses to meet the challenges of digital transformation and drive engagement and customer loyalty.
20-Shareholder-Letter_Adobe.pdf,Legitimate Portability,Our platform allows businesses to harness their data and provide an amazing customer experience in real time.
20-Shareholder-Letter_Adobe.pdf,,"We are reimagining experiences of the future across creativity, documents and customer experience."
20-Shareholder-Letter_Adobe.pdf,,"Each year, we continue to be ranked as one of content attribution, and we’ve invited other companies the most innovative companies in the world."
20-Shareholder-Letter_Adobe.pdf,,We’re excited to join to create a long-term shared solution.
20-Shareholder-Letter_Adobe.pdf,,We want to about the opportunities to continue to provide technology drive adoption of a shared industry framework to give breakthroughs to help our customers succeed.
20-Shareholder-Letter_Adobe.pdf,,consumers greater confidence about the authenticity of the content they are consuming.
20-Shareholder-Letter_Adobe.pdf,,"OUR PEOPLE ARE OUR GREATEST ASSET We are committed to taking a responsible approach to data This breakthrough innovation happens undoubtedly that honors consumer privacy choices, ensures security because of our people and the culture we’ve cultivated."
20-Shareholder-Letter_Adobe.pdf,,and works to address bias in artificial intelligence datasets.
20-Shareholder-Letter_Adobe.pdf,,"We believe that when people feel valued and included, Our goal is to provide exceptional digital experiences while they are more creative, innovative and successful."
20-Shareholder-Letter_Adobe.pdf,,
20-Shareholder-Letter_Adobe.pdf,,“Adobe helping our customers responsibly unlock the power of for All” is our commitment to building a workforce that’s data.
20-Shareholder-Letter_Adobe.pdf,,"We’re making steady progress as we work to increase diversity in our workforce, with women SERVING OUR COMMUNITIES now representing 33% of our global employee base and underrepresented minorities representing 10% of our U.S. Adobe’s founders Chuck Geschke and John Warnock workforce, but there’s so much more to do."
20-Shareholder-Letter_Adobe.pdf,,focused on giving back to our communities since the company’s inception.
20-Shareholder-Letter_Adobe.pdf,,"We’ve remained steadfast in our I am proud that in 2018, we achieved global gender pay belief that it is not just what we do but how we do it that parity."
