New_Category     Account Action  Content Licensing  General Terms  IndividualError  Legitimate Portability  Price Discrimination  Regulatory Compliance  Technical Blocking  User Workaround
Company                                                                                                                                                                                     
Adobe                  0.002868           0.000000       0.971638         0.000000                0.000319              0.003824               0.021351            0.000000         0.000000
Amazon                 0.010390           0.072727       0.862338         0.000000                0.000000              0.010390               0.044156            0.000000         0.000000
Amazon Prime           0.002628           0.042050       0.908016         0.000000                0.000000              0.010512               0.035480            0.001314         0.000000
Apple Music            0.021084           0.042169       0.877259         0.000000                0.000000              0.000000               0.057229            0.000753         0.001506
Disney+                0.010134           0.085214       0.863197         0.000000                0.001842              0.011976               0.026255            0.000461         0.000921
ExpressVPN             0.033333           0.016667       0.816667         0.000000                0.000000              0.000000               0.083333            0.050000         0.000000
Microsoft              0.015347           0.003837       0.956875         0.000000                0.000000              0.000767               0.023174            0.000000         0.000000
Netflix                0.005919           0.061630       0.871518         0.000348                0.001393              0.028203               0.028552            0.001045         0.001393
NordVPN                0.109091           0.000000       0.872727         0.000000                0.000000              0.000000               0.018182            0.000000         0.000000
PurePlayer             0.000000           0.042105       0.920000         0.000000                0.000000              0.000000               0.037895            0.000000         0.000000
Spotify                0.005632           0.056041       0.895522         0.000000                0.000000              0.014362               0.025063            0.000282         0.003098
Youtube Premium        0.016351           0.031301       0.891147         0.000000                0.000000              0.002336               0.035739            0.022425         0.000701
